INDEX,11FI05101,11FC05031,11FC05032,11FC05033,11FC05034,11FC05035,11FC05036,11FC05041,11FC05042,11FC05043,11FC05044,11FC05045,11FC05046,11TI05001,11TI05002,11TI05003,11TI05004,11TI05005,11TI05006,11TI05011,11TI05012,11TI05013,11TI05014,11TI05015,11TI05016,11TI05044,11TC05000
11/6/2015 0:00,52221.63426,8326.643312,8514.593137,8772.479316,8702.662279,8725.061214,8925.859148,4231.776051,4235.679965,4331.376363,4330.427633,4389.311932,4464.124223,609.925308,612.9772252,623.7791642,607.3427327,611.15541,617.9491351,835.6857021,832.7755461,837.5798751,835.1857822,837.5325328,840.0830215,1014.20386,838.5649837
11/6/2015 0:20,52265.90033,8365.639417,8556.450386,8785.182039,8691.885549,8703.588278,8947.979539,4234.084322,4235.981084,4331.812712,4337.95793,4405.869883,4468.568686,607.6829066,611.3088194,621.2639312,605.5525452,608.8301867,615.503,842.7862748,857.6578088,842.0633906,831.472131,827.8471977,829.8596486,1003.212185,838.3038794
11/6/2015 0:40,52175.42222,8399.151486,8958.92929,8866.258307,8568.940794,8487.709325,8657.917877,4219.596998,4227.073918,4335.506624,4335.915614,4396.782618,4466.71496,606.4857592,605.4210088,621.2895481,606.7691452,612.2236605,619.2376106,832.8823585,829.0826853,836.1411602,835.5563422,839.5043818,844.8808671,1012.859396,837.5275998
11/6/2015 1:00,52301.05859,8371.304905,8755.843789,8816.456687,8648.966226,8614.72226,8805.72576,4235.860665,4242.02029,4330.784367,4337.349533,4392.868932,4456.445323,607.0315958,607.739186,621.7760857,606.4647639,610.7736711,617.6209869,836.4301642,833.7851326,840.0579927,838.1779565,834.462237,833.5342428,1011.943218,837.8181358
11/6/2015 1:20,52294.35381,8395.126075,8939.937799,8868.780738,8602.885921,8493.646648,8679.958967,4240.078093,4221.425555,4324.309267,4320.616187,4412.567738,4464.627286,605.9719774,605.1787646,619.520495,605.5587917,610.2754125,617.5005753,839.6437444,851.5338094,842.8075762,835.302639,827.1231345,825.3704412,1005.692422,837.3389274
11/6/2015 1:40,52265.03067,8365.50431,8780.852987,8841.769575,8656.124079,8539.637431,8758.329774,4241.184508,4236.680896,4330.445724,4330.142457,4404.189498,4479.436345,608.6321614,608.6504955,623.5144268,608.8519501,614.7959061,621.5191326,828.6176018,822.6443814,836.9857033,842.6414344,846.1496096,848.0406515,1011.333829,838.3788282
11/6/2015 2:00,52200.32884,8273.890963,8515.235562,8786.784298,8692.363442,8774.243705,8967.026779,4227.987909,4236.520722,4338.350699,4328.524015,4394.587658,4444.135644,609.8570856,612.1757951,624.8878956,608.1142535,612.7859776,619.1074288,833.4829345,828.3356411,835.2800103,834.854151,842.48996,846.3195389,1011.952702,838.3973506
11/6/2015 2:20,52269.12703,8314.212554,8517.783165,8764.371424,8669.526376,8749.136641,8969.312003,4243.729509,4239.212231,4333.444938,4346.056966,4409.120814,4457.542447,610.2006123,613.1376659,623.7734764,607.2665056,610.0775945,616.2315426,838.17563,836.5144777,837.5391805,835.4821636,834.8766687,834.7878511,1011.934926,838.3467156
11/6/2015 2:40,52240.5994,8315.588421,8502.105429,8762.184962,8694.639345,8768.796221,8997.852215,4226.130267,4222.527552,4336.756831,4333.543562,4403.442898,4448.702181,610.7266483,614.0564136,624.1656698,607.9728067,610.8126141,617.4109954,833.3447708,834.037237,838.9063321,835.5952733,838.2550259,839.0873803,1013.971608,837.788338
11/6/2015 3:00,52225.2703,8341.256788,8598.113528,8773.121815,8710.41779,8684.650514,8837.625346,4230.446723,4228.662087,4332.970272,4341.340822,4397.043055,4474.051942,608.2035829,611.9821446,622.2873553,605.7596383,608.8235738,615.9684857,838.1569322,844.6500305,839.9149317,835.6366175,831.4492957,829.8575404,1011.881495,837.4895524
11/6/2015 3:20,52229.49497,8386.592114,8750.592034,8816.606556,8672.125499,8589.925667,8748.08222,4236.784196,4242.680809,4326.294172,4335.898731,4401.526931,4467.665228,606.7970164,609.0798504,621.6801974,605.2328687,610.057237,618.1037419,835.8389806,834.7690245,836.7722541,835.7512354,836.9738162,838.8439421,1009.964531,838.0585633
11/6/2015 3:40,52247.57528,8362.145272,8678.276813,8791.176895,8690.078192,8661.420643,8818.135037,4232.385402,4231.488776,4330.087647,4336.840014,4408.982693,4471.025119,607.2883015,608.7261229,621.8153968,605.0222852,610.04251,617.6186318,837.4224557,834.0705468,836.5562911,834.038305,836.958407,839.5194616,1011.980543,837.5129568
11/6/2015 4:00,52269.99396,8368.814208,8569.900133,8776.540036,8710.702315,8726.630985,8881.761873,4223.144938,4221.15685,4335.786775,4340.054785,4396.934922,4465.013777,609.6380574,611.466547,622.3476543,607.3161669,611.1392158,618.3450787,832.0618407,832.5198175,839.394275,836.6190372,840.2114824,842.0211914,1013.784021,838.1538863
11/6/2015 4:20,52203.59113,8347.281596,8578.31918,8797.154602,8713.803774,8690.696467,8852.315235,4241.262173,4229.139885,4332.471201,4328.303587,4405.910564,4470.087702,608.114983,610.6790865,621.5331831,605.4512775,609.5727598,617.2754486,835.8562567,848.6098979,841.0175496,837.0472276,832.475615,834.148954,1004.749397,838.5849993
11/6/2015 4:40,52230.63117,8373.500347,8973.696556,8890.995487,8627.002391,8518.133575,8599.772701,4227.353581,4228.813101,4342.91846,4326.159879,4391.233971,4468.477957,605.3900638,604.9216034,621.0376523,603.8501984,609.9710499,618.3487569,834.2952486,833.363953,836.8045719,836.3515292,835.6377721,837.0672493,1010.149329,837.406803
11/6/2015 5:00,52220.00624,8352.873935,8748.356025,8805.805237,8702.002928,8627.552987,8756.774123,4237.672494,4227.242791,4331.046502,4338.090916,4398.524207,4454.590211,608.9013579,608.9127483,623.8781977,606.8580884,612.7368188,620.3354372,833.764514,824.4445296,833.2991791,836.5050635,844.8260102,850.5956339,1011.043049,838.2448925
11/6/2015 5:20,52190.56737,8304.716585,8566.070216,8767.092569,8710.635215,8751.293188,8904.894496,4229.605336,4236.590129,4331.591004,4340.749907,4407.333945,4463.972312,609.226366,611.190537,623.8231567,606.2636069,610.5456898,617.8086611,834.2004125,829.7165222,836.2776964,837.125721,841.1757919,842.1303783,1011.702623,838.6685546
